Afrique du Sud|skos:broader|Afrique australe
- Siamese network with two deep sub-models  - Projects input and candidate texts into embedding space  - Trained by maximizing cosine similarity between correct input-output pairs    [source](/doc/2019/08/neural_models_for_information_r)|skos:broader|In practice, many NLP applications rely on a simple sentence embedding: the average of the  embeddings of the words in it. We can do better.    Ex of use (besides trivial ones such as classification and similarity): use sentence embeddings to cluster  sentences in documents, which aids in the automatic extraction  of key information from large bodies of text.  
Markus Lanthaler|skos:broader|Technical girls and guys
Google Spreadsheets|skos:broader|Spreadsheets
Semantic Vector Encoding and Similarity Search Using Fulltext Search Engines  The ubiquity of semantic vector space modeling raises the challenge of efficient searching in dense, high-dimensional vector spaces. We would naturally want to take advantage of the design and optimizations behind modern fulltext engines like Elasticsearch so as to meet the scalability and robustness demands of modern IR applications. This is the research challenge addressed in this paper.   The paper describes novel ways of encoding dense vectors into text documents, allowing the use of traditional inverted index engines.    [blog post](https://rare-technologies.com/semantic-search-fulltext-engine-acl-2017/)   Vector representations and vector space modeling (VSM) play a central role in modern machine learning. We propose a novel approach to `vector similarity searching' over dense semantic representations of words and documents that can be deployed on top of traditional inverted-index-based fulltext engines, taking advantage of their robustness, stability, scalability and ubiquity. We show that this approach allows the indexing and querying of dense vectors in text domains. This opens up exciting avenues for major efficiency gains, along with simpler deployment, scaling and monitoring. The end result is a fast and scalable vector database with a tunable trade-off between vector search performance and quality, backed by a standard fulltext engine such as Elasticsearch. We empirically demonstrate its querying performance and quality by applying this solution to the task of semantic searching over a dense vector representation of the entire English Wikipedia.|sl:arxiv_author|Michal Růžička
Safari|skos:broader|Brouteur
Cosmic inflation|skos:broader|Cosmologie
Lost City|skos:broader|Océan
Linked Data Exploration|skos:broader|Linked Data
Self-driving car|skos:broader|Robotics Robot
Catastrophe écologique|skos:broader|Écologie
Bag-of-words|skos:broader|NLP: Text Representation
Neural Models for Information Retrieval|skos:broader|Neural networks
